;position;squad;minutes;xg_per90;shoots_on_t_x_game;passes_x_game;dribbles_x_game;goals
6778;7;6;102.0;0.15;0.5;0.25;0.75;0.0
6779;3;6;2686.0;0.04;0.12903225806451613;2.3548387096774195;0.3548387096774194;1.0
6780;1;6;596.0;0.03;0.0625;0.6875;0.1875;0.0
6781;6;6;1861.0;0.04;0.13333333333333333;2.2;0.6333333333333333;1.0
6782;3;6;1176.0;0.01;0.0;2.0;0.5882352941176471;0.0
6783;6;6;2201.0;0.03;0.09090909090909091;2.242424242424242;1.9090909090909092;0.0
6784;7;6;216.0;0.06;0.0;0.18181818181818182;0.5454545454545454;0.0
6785;3;6;4.0;0.0;0.0;0.0;0.0;0.0
6786;3;6;2692.0;0.03;0.0967741935483871;0.7096774193548387;0.3225806451612903;1.0
6787;6;6;2702.0;0.03;0.21875;3.09375;1.15625;1.0
6789;3;6;132.0;0.12;0.25;0.25;1.0;1.0
6792;7;6;2073.0;0.18;0.42424242424242425;2.242424242424242;1.5757575757575757;2.0
6793;9;6;1640.0;0.31;0.9166666666666666;0.5416666666666666;0.5;6.0
6794;3;7;2957.0;0.03;0.15151515151515152;3.9393939393939394;0.0;2.0
6795;7;7;1847.0;0.35;0.72;1.64;1.28;8.0
6796;3;7;2700.0;0.02;0.12121212121212122;1.9090909090909092;1.393939393939394;1.0
6797;8;7;704.0;0.15;0.2857142857142857;0.7142857142857143;0.7142857142857143;3.0
6798;3;7;1431.0;0.01;0.05555555555555555;3.4444444444444446;0.4444444444444444;0.0
6799;1;7;1344.0;0.07;0.05263157894736842;2.9473684210526314;0.15789473684210525;0.0
6800;7;7;1097.0;0.16;0.45;2.85;0.15;2.0
6801;2;7;68.0;0.07;0.0;0.14285714285714285;0.2857142857142857;0.0
6802;3;7;68.0;0.0;0.0;0.75;0.25;0.0
6804;8;7;2476.0;0.32;1.3;1.5666666666666667;2.2333333333333334;11.0
6805;9;7;2587.0;0.37;1.1724137931034482;1.6551724137931034;0.9655172413793104;18.0
6806;7;7;1215.0;0.2;0.32;1.08;1.24;2.0
6808;7;7;1492.0;0.08;0.10714285714285714;3.2142857142857144;1.3571428571428572;0.0
6809;8;7;2242.0;0.24;0.37142857142857144;1.2285714285714286;2.0285714285714285;4.0
6810;6;7;1009.0;0.04;0.19047619047619047;2.3333333333333335;1.7142857142857142;2.0
6811;6;7;7.0;0.0;0.0;0.0;0.0;0.0
